,host_response_rate,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
14814,1.0,2.0,2.0,3.0,1125.0,1125.0,2.0,1125.0,4.83,5.0,4.89,4.89,4.94,4.94,4.83,1.29
14815,1.0,1.0,1.6,1.9,1125.0,1125.0,1.8,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07
14816,0.98,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.61,4.74,4.68,4.9,4.87,4.9,4.58,2.02
14817,0.98,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.8,4.84,4.86,4.93,4.95,4.98,4.86,2.84
14818,1.0,1.6,1.0,1.0,365.0,365.0,1.0,365.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14819,0.9,1.0,1.6,1.9,1125.0,1125.0,1.8,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09
14820,1.0,1.0,1.6,1.9,365.0,365.0,1.8,365.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14821,1.0,1.0,1.6,1.9,365.0,365.0,1.8,365.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14822,1.0,1.0,2.0,2.0,365.0,365.0,2.0,365.0,4.85,4.93,4.78,4.93,4.89,5.0,4.7,1.84
14823,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,5.0,5.0,5.0,5.0,5.0,4.6,4.9,0.83
14824,0.99,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.68,4.74,4.79,4.95,4.79,4.95,4.63,1.25
14825,1.0,1.6,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.95,4.98,4.96,4.96,4.98,4.87,4.97,1.4
14826,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.83,4.83,4.75,4.83,5.0,5.0,5.0,0.79
14827,1.0,1.6,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.88,4.94,4.94,4.88,4.94,4.88,4.81,2.43
14828,1.0,1.6,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.5,5.0,4.5,5.0,5.0,5.0,5.0,0.25
14829,0.9,1.6,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.8,4.9,4.8,5.0,4.9,5.0,4.8,0.12
14830,0.99,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.54,4.67,4.8,4.72,4.56,4.82,4.6,3.94
14831,0.99,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.39,4.51,4.53,4.9,4.9,4.69,4.51,3.92
14832,0.86,2.0,1.0,1.0,365.0,365.0,1.0,365.0,4.8,4.6,4.6,4.8,4.8,4.8,4.4,0.4
14833,1.0,1.0,1.0,1.0,365.0,365.0,1.0,365.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14834,0.98,1.0,1.6,5.0,1125.0,1125.0,5.0,1125.0,4.8,4.9,4.8,4.9,4.9,4.9,4.8,0.36
14835,1.0,1.6,1.0,1.0,365.0,365.0,1.0,365.0,4.5,4.9,4.86,4.93,4.64,4.71,4.43,0.98
14836,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.81,4.91,4.72,4.84,4.97,4.97,4.81,2.15
14837,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,5.0,4.9,5.0,5.0,5.0,4.9,5.0,0.2
14838,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.92,4.97,5.0,4.92,4.95,4.97,4.92,2.81
14839,0.9,1.0,2.0,3.0,1125.0,1125.0,2.9,1125.0,4.9,5.0,4.9,5.0,5.0,5.0,5.0,0.66
14840,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.91,4.98,4.95,4.98,4.93,4.84,4.91,3.27
14841,1.0,1.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.94,4.94,4.88,5.0,5.0,4.76,4.94,1.16
14842,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.92,4.96,4.96,5.0,4.92,4.73,4.98,3.8
14843,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.77,4.77,4.79,4.83,4.89,4.96,4.72,3.11
14844,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,5.0,4.86,5.0,4.86,4.86,5.0,4.86,0.46
14845,1.0,2.0,1.0,3.0,1125.0,1125.0,1.0,1125.0,4.82,4.77,4.82,4.93,4.93,4.89,4.8,3.0
14846,0.96,1.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.95,4.92,4.87,4.97,4.9,4.95,4.87,2.6
14847,1.0,1.0,1.6,1.9,1125.0,1125.0,1.8,1125.0,5.0,5.0,5.0,4.67,5.0,4.9,4.67,0.26
